epoch,train_loss,train_acc,val_loss,val_acc
1,2.060263432094029,0.25142857142857145,1.9920910708109538,0.24
2,1.651326756477356,0.3942857142857143,1.3744328864415487,0.52
3,1.488282516343253,0.4614285714285714,1.3065234835942585,0.5266666666666666
4,1.3296368442262922,0.5114285714285715,1.1868913857142132,0.5866666666666667
5,1.199891769545419,0.5542857142857143,1.217721929550171,0.5466666666666666
6,1.0957575409752982,0.6042857142857143,1.0483736673990884,0.6333333333333333
7,1.0585368881906783,0.6214285714285714,1.1651390075683594,0.62
8,0.9692656350135803,0.67,0.9854808282852173,0.6666666666666666
9,0.8704598706109183,0.68,0.9356334455808004,0.7066666666666667
10,0.8126528923852103,0.7285714285714285,1.0349625301361085,0.6733333333333333
11,0.8156808979170663,0.7042857142857143,1.3937325366338094,0.5866666666666667
12,0.7770723720959255,0.7185714285714285,0.9161196668942769,0.76
13,0.7537410514695304,0.73,1.440885820388794,0.5733333333333334
14,0.6904320774759565,0.7414285714285714,0.7901158754030864,0.7866666666666666
15,0.7325021173272814,0.74,1.031276082197825,0.68
16,0.6499243724346161,0.7842857142857143,0.8205657728513082,0.76
17,0.6114669956479754,0.77,0.7216769639650981,0.7533333333333333
18,0.6822547800200326,0.7628571428571429,1.2011415243148804,0.68
19,0.616130667413984,0.7785714285714286,1.128872865041097,0.6266666666666667
20,0.5524133457456316,0.82,1.0402631203333537,0.7133333333333334
21,0.6225875745500837,0.7671428571428571,0.7463659556706747,0.7866666666666666
22,0.46294036746025086,0.8442857142857143,0.6671928993860881,0.8133333333333334
23,0.4412272894382477,0.8428571428571429,0.7886587039629618,0.78
24,0.39298877835273743,0.8614285714285714,0.617604877948761,0.8333333333333334
25,0.3915071175779615,0.8585714285714285,0.6068965832392375,0.8133333333333334
26,0.39916176557540894,0.8542857142857143,0.6939053432146708,0.78
27,0.35832196967942376,0.87,0.6351361378033956,0.82
28,0.3091504088469914,0.8985714285714286,0.6070848306020101,0.82
29,0.32387484533446176,0.89,0.6360003940264384,0.8066666666666666
30,0.2932156908512116,0.8971428571428571,0.579066116809845,0.8533333333333334
